date,cum_mm,s_prev4,s_last4,ratio4,net8,R1,R2,R3,ACCEL,C1,C2,C3,CREEP,if_score,if_pctl,IF,label
2024-12-28,62.14852931,,,,,,,,,,,,,,,,
2025-01-03,68.32104578,,,,,,,,,,,,,,,,
2025-01-09,58.91427305,,,,,,,,,,,,,,,,
2025-01-15,71.45903211,,,,,,,,,,,,,,,,
2025-01-21,64.22384792,,,,,,,,,,,,,,,,
2025-01-27,66.87102944,,,,,,,,,,,,,,,,
2025-02-02,60.10534821,,,,,,,,,,,,,,,,
2025-02-08,73.54198207,,,,,,,,,,,,,,,,
2025-02-14,69.18247563,,,,,,,,,,,,,,,,
2025-02-20,55.42198455,,,,,,,,,,,,,,,,
2025-02-26,63.76510294,,,,,,,,,,,,,,,,
2025-03-04,65.99120384,,,,,,,,,,,,,,,,
2025-03-10,70.03214578,,,,,,,,,,,,,,,,
2025-03-16,61.25903412,,,,,,,,,,,,,,,,
2025-03-22,67.41238491,,,,,,,,,,,,,,,,
2025-03-28,74.88123045,,,,,,,,,,,,,,,,
2025-04-03,59.33214578,,,,,,,,,,,,,,,,
2025-04-09,64.55102934,,,,,,,,,,,,,,,,
2025-04-15,68.12398457,,,,,,,,,,,,,,,,
2025-04-21,72.01427305,,,,,,,,,,,,,,,,
2025-04-27,60.54102934,,,,,,,,,,,,,,,,
2025-05-03,66.27310294,,,,,,,,,,,,,,,,
2025-05-09,63.89124578,,,,,,,,,,,,,,,,
2025-05-15,57.18903412,,,,,,,,,,,,,,,,
2025-05-21,69.76102934,,,,,,,,,,,,,,,,
2025-05-27,65.11247563,,,,,,,,,,,,,,,,
2025-06-02,75.32104578,,,,,,,,,,,,,,,,
2025-06-08,62.44198455,,,,,,,,,,,,,,,,
2025-06-14,68.80214578,,,,,,,,,,,,,,,,
2025-06-20,61.95903412,,,,,,,,,,,,,,,,
2025-06-26,56.72384792,,,,,,,,,,,,,,,,
2025-07-02,70.43102944,,,,,,,,,,,,,,,,
2025-07-08,64.19534821,,,,,,,,,,,,,,,,
2025-07-14,66.56198207,,,,,,,,,,,,,,,,
2025-07-20,63.21247563,,,,,,,,,,,,,,,,
2025-07-26,71.89123045,,,,,,,,,,,,,,,,
2025-08-01,58.24214578,,,,,,,,,,,,,,,,
2025-08-07,67.92102934,,,,,,,,,,,,,,,,
2025-08-13,62.66398457,,,,,,,,,,,,,,,,
2025-08-19,65.37427305,,,,,,,,,,,,,,,,
2025-08-25,69.45102934,,,,,,,,,,,,,,,,
2025-08-31,60.98310294,,,,,,,,,,,,,,,,
2025-09-06,74.12124578,,,,,,,,,,,,,,,,
2025-09-12,63.50903412,,,,,,,,,,,,,,,,
2025-09-18,59.87102934,,,,,,,,,,,,,,,,
2025-09-24,66.13247563,,,,,,,,,,,,,,,,
2025-09-30,68.54104578,,,,,,,,,,,,,,,,
2025-10-06,62.77198455,,,,,,,,,,,,,,,,NA
2025-10-12,70.61214578,,,,,,,,,,,,,,,,NA
2025-10-18,64.88903412,,,,,,,,,,,,,,,,NA
2025-10-24,66.23486526,,,,,,,,,,,,,,,,NA
2025-10-30,65.68518172,,,,,,,,,,,,,,,,NA
2025-11-05,73.9205034,,,,,,,,,,,,,,,,NA
2025-11-11,60.66407098,,,,,,,,,,,,,,,,NA
2025-11-17,67.53646596,183.0160039,148.0745115,0.80907958,67.53646596,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,-0.571633491,7.25,FALSE,NONE
2025-11-23,65.98305257,125.3369047,-25.78049784,0.2056896,57.51566882,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.496948719,18.875,FALSE,NONE
2025-11-29,74.1928143,236.0875475,65.8979164,0.279124914,53.78936609,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,-0.490438411,20.125,FALSE,NONE
2025-12-05,64.51434792,177.9173485,0.319708651,0.00179695,28.40739526,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.482274969,22.875,FALSE,NONE
2025-12-11,63.18223996,148.0745115,-55.03375222,0.371662561,32.49705823,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.437513335,42.875,FALSE,NONE
2025-12-17,63.80116018,-25.78049784,-98.94339532,1.764946859,-10.11934323,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.421313511,60.25,FALSE,NONE
2025-12-23,51.74936549,65.8979164,-114.6764074,1.740212949,-8.914705488,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.418020031,62.5,FALSE,NONE
2025-12-29,77.1013955,0.319708651,90.41663899,1.612847047,9.564929538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.414288015,67.375,FALSE,NONE
2026-01-04,62.50314289,-55.03375222,32.84942296,0.585966205,-3.479909685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.39492199,96.5,FALSE,NONE
2026-01-10,46.64511024,-98.94339532,-75.50558524,0.763119004,-27.54770406,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.435814937,44.5,FALSE,NONE
2026-01-16,29.89441999,-114.6764074,-354.1354701,3.088128396,-34.61992794,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,-0.592747907,5.125,TRUE,WATCH_B
2026-01-22,9.398800744,90.41663899,-535.8939376,5.926939374,-53.78343921,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.697582987,1.375,TRUE,RED
2026-01-28,20.58197763,32.84942296,-300.3725207,5.35802855,-43.21918254,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.606308913,4.5,TRUE,RED
